(2034, 2)
(2062, 2)
(2111, 1)
(2199, 1)
(2240, 2)
(2265, 1)
(2279, 1)
(2331, 2)
(2371, 1)
(2464, 1)
(2483, 1)
(2614, 1)
(2632, 1)
(2656, 1)
(2675, 1)
(2757, 2)
(2909, 2)
(3002, 1)
(3040, 1)
(3080, 2)
(3137, 2)
(3156, 1)
(3297, 2)
(3361, 1)
(3387, 2)
(3408, 2)
(3441, 1)
(3664, 1)
(3705, 1)
(3880, 2)
(3958, 1)
(3997, 1)
(4046, 2)
(4070, 2)
(4086, 1)
(4217, 2)
(4242, 2)
(4347, 2)
(4398, 2)
(4428, 2)
(4449, 2)
(4486, 1)
(4635, 2)
(4750, 2)
(5043, 2)
(5094, 2)
(5416, 2)
(5525, 2)
(7265, 2)
(9328, 2)
(10341, 1)
(52392, 1)
(72759, 1)
(79884, 1)
(116751, 1)
(132183, 1)
(133251, 1)
(133757, 1)
(133967, 1)
(135623, 1)
(181892, 1)
(195670, 1)
(223129, 1)
(223671, 1)
(224061, 1)
(224137, 1)
(224806, 1)
(225000, 1)
(225229, 1)
(226644, 1)
(226909, 1)
(227041, 1)
(227949, 1)
(375935, 1)
(376399, 1)
(376550, 1)
(377346, 1)
(377464, 1)
(378581, 1)
(379610, 1)
(421655, 1)
(426394, 1)
(427578, 1)
(432813, 1)
(443537, 1)
(448015, 1)
(448121, 1)
(449416, 1)
(450053, 1)
(450334, 1)
(450624, 1)
(451108, 1)
(451322, 1)
(451538, 1)
(452623, 1)
(452713, 1)
(453648, 1)
(454663, 1)
(454862, 1)
(455142, 1)
(456320, 1)
(456893, 1)
(457271, 1)
(457444, 1)
(457656, 1)
(458844, 1)
(459120, 1)
(459200, 1)
(466078, 1)
(469450, 1)
(471331, 1)
(471754, 1)
(507430, 1)
(514847, 1)
(539408, 1)
(540686, 1)
(541501, 1)
(541777, 1)
(542643, 1)
(543419, 1)
(544051, 1)
(544259, 1)
(552033, 1)
(621572, 1)
(623732, 1)
(626263, 1)
(652409, 1)
(653273, 1)
(653946, 1)
(654097, 1)
(655183, 1)
(655426, 1)
(657394, 2)
(675647, 1)
(700209, 1)
(701120, 1)
(701483, 1)
(702182, 1)
(725153, 1)
(725357, 1)
(726059, 1)
(726514, 1)
(726817, 1)
(728267, 1)
(729429, 1)
(732061, 1)
(732516, 1)
(733481, 2)
(734372, 1)
(740297, 1)
(748627, 1)
(779954, 1)
(852773, 1)
(852816, 1)
(937576, 1)
(988360, 1)
(988577, 1)
(990121, 1)
(992366, 1)
(992483, 1)
(996278, 1)
(998023, 1)
(998163, 1)
(1002083, 2)
(1007645, 1)
(1012834, 1)
(1061200, 1)
(1062988, 1)
(1080862, 1)
(1094088, 1)
(1096150, 1)
(1099097, 1)
(1101260, 1)
(1101528, 1)
(1102801, 1)
(1105876, 1)
(1109215, 1)
(1150379, 1)
(1151334, 1)
